THIS FILE MUST BE VIEWED FULL SCREEN
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
			Questions																												Predicted		Actual
How many miles is it from Frankfurt , Germany to Salzburg , Austria ?                                                                 NUM:count    NUM:count
What is the highest continent ?                                                                                                       LOC:mount    LOC:other
Mississippi has what name for a state nickname ?                                                                                      LOC:state    LOC:state
How do I find a snowboarding website ?                                                                                                DESC:manner  DESC:manner
What state is known as the Hawkeye State ?                                                                                            LOC:state    LOC:state
What kind of business is 7-Eleven ?                                                                                                   DESC:def     HUM:gr
What was The Living Room War ?                                                                                                        LOC:other    DESC:def
How many fiddlers did Old King Cole have ?                                                                                            NUM:count    NUM:count
What are the snakes of New England ?                                                                                                  ENTY:animal  ENTY:animal
What are the ages in comic book lingo ?                                                                                               ENTY:cremat  ENTY:event
What amount of money did the Philippine ex-dictator Marcos steal from the treasury ?                                                  HUM:ind      NUM:money
Who played Al Jolson in the Jolson Story ?                                                                                            HUM:ind      HUM:ind
Who headed Hitler 's infamous Gestapo ?                                                                                               HUM:ind      HUM:ind
How does a small businessman contact the Good Humor Ice Cream company to do business with them ?                                      DESC:manner  DESC:manner
Who awarded The Flying Fickle Finger of Fate ?                                                                                        HUM:ind      HUM:ind
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?                                                  HUM:ind      HUM:ind
How do you write a book report ?                                                                                                      DESC:manner  DESC:manner
What 19th-century painter died in the Marquesas Islands ?                                                                             HUM:ind      HUM:ind
What daily newspaper will `` help you see clearer across the USA '' ?                                                                 LOC:other    ENTY:cremat
Who used to make cars with rotary engines ?                                                                                           HUM:gr       HUM:gr
How many children under 18 are victims of some sort of Physical Abuse each year ?                                                     NUM:count    NUM:count
What Soviet leader owned a Rolls-Royce ?                                                                                              HUM:ind      HUM:ind
Name a band which was famous in the 1960 's .                                                                                         HUM:gr       HUM:gr
How many airline schools are there in the U.S. ?                                                                                      NUM:count    NUM:count
What must be exceeded to produce a sonic boom ?                                                                                       ENTY:other   ENTY:other
How does marl form and what mineral does it contain ?                                                                                 DESC:manner  DESC:manner
Who invented the electric guitar ?                                                                                                    HUM:ind      HUM:ind
What do chefs call The Master Spice ?                                                                                                 HUM:ind      ENTY:food
What country has declared one-fifth of its territory off-limits to Russians ?                                                         LOC:country  LOC:country
Who is the mayor of Marbella ?                                                                                                        HUM:ind      HUM:ind
What did the only repealed amendment to the U.S. Constitution deal with ?                                                             DESC:desc    DESC:desc
How come light bulbs go out ?                                                                                                         DESC:manner  DESC:reason
What type of animal is the easiest kept pet there is ?                                                                                ENTY:animal  ENTY:animal
How long does it take to hike the entire Appalachian Trail ?                                                                          NUM:period   NUM:period
What are the rules to `` snow golf '' ?                                                                                               DESC:def     DESC:desc
How do you address a Chinese person ?                                                                                                 DESC:manner  DESC:manner
Italy is the largest producer of what ?                                                                                               HUM:gr       ENTY:product
What country owns Corsica ?                                                                                                           LOC:country  LOC:country
What are vermicilli , rigati , zitoni , and tubetti ?                                                                                 DESC:def     DESC:def
What are some children 's rights ?                                                                                                    LOC:other    DESC:desc
Rotary engine cars were made by what company ?                                                                                        HUM:gr       HUM:gr
What was John Steinbeck 's travelling companion Charley ?                                                                             ENTY:cremat  ENTY:other
What actress has received the most Oscar nominations ?                                                                                HUM:ind      HUM:ind
What is the fastest computer ?                                                                                                        ENTY:other   ENTY:product
How is Paraguay for vacations ?                                                                                                       DESC:manner  DESC:manner
What kind of creatures are the Canary Islands named for ?                                                                             ENTY:animal  ENTY:animal
How does blood clot ?                                                                                                                 DESC:manner  DESC:manner
Who wrote ` The Pines of Rome ' ?                                                                                                     HUM:ind      HUM:ind
What are Britain 's two longest rivers ?                                                                                              LOC:other    LOC:other
Who made the first surfboard ?                                                                                                        HUM:ind      HUM:ind
What Indian tribe is F Troop perpetually doing battle with ?                                                                          HUM:gr       HUM:gr
How is the word ` qigong ' pronounced ?                                                                                               ENTY:termeq  DESC:manner
Which comic book was not spawned directly from the pulp magazines ?                                                                   ENTY:cremat  ENTY:cremat
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?                                           HUM:ind      HUM:ind
What information can you tell me about actor James Cromwell ?                                                                         ENTY:other   HUM:desc
What is the Socratic method ?                                                                                                         DESC:def     DESC:def
Who was Tiny Tim 's father ?                                                                                                          HUM:ind      HUM:ind
What country boasts the most dams ?                                                                                                   LOC:country  LOC:country
What fossilizes to form coprolite ?                                                                                                   DESC:def     ENTY:other
Who invented baseball ?                                                                                                               HUM:ind      HUM:ind
What 's approaching when a cyclist shouts : `` Oil '' ?                                                                               DESC:def     ENTY:other
How many people in America snore ?                                                                                                    NUM:count    NUM:count
What diminutive American female gymnast stole the show at the 1984 Olympics ?                                                         HUM:ind      HUM:ind
What is humidity ?                                                                                                                    DESC:def     DESC:def
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?                             HUM:ind      ENTY:event
What 1956 Grace Metalious novel was on the best-seller list for two years ?                                                           ENTY:cremat  ENTY:cremat
What is the Jewish bible called ?                                                                                                     ENTY:termeq  ENTY:cremat
What number of American soldiers remain unaccounted from the Vietnam war ?                                                            NUM:other    NUM:other
Name a film in which Jude Law acted .                                                                                                 ENTY:cremat  ENTY:cremat
Why does a wheel , e.g. a car tire , appear to spin in the opposite direction as it slows down ?                                      DESC:desc    DESC:reason
On average , how many miles are there to the moon ?                                                                                   NUM:count    NUM:count
What is a fear of glass ?                                                                                                             ENTY:dismed  ENTY:dismed
Where did surfing originate ?                                                                                                         LOC:other    LOC:other
Who sings Angel Eyes from the 80 's ?                                                                                                 HUM:ind      HUM:ind
What is viscosity ?                                                                                                                   DESC:def     DESC:def
What country was first to use the airplane as a weapon of war , against the Turks in Libya ?                                          LOC:country  LOC:country
What year did Rossetti paint `` Beata Beatrix '' ?                                                                                    NUM:date     NUM:date
Who was the inventor of silly putty ?                                                                                                 HUM:ind      HUM:ind
What was the name of Randy Steven Craft 's lawyer ?                                                                                   HUM:ind      HUM:ind
When did CNN begin broadcasting ?                                                                                                     NUM:date     NUM:date
What is the population of Kansas ?                                                                                                    NUM:other    NUM:other
What is the origin and the meaning of the name , `` Hajo ? ''                                                                         DESC:desc    DESC:desc
What is molybdenum ?                                                                                                                  DESC:def     DESC:def
In South Korea , how many American Soldiers are there ?                                                                               NUM:count    NUM:count
What does it take to be a hero ?                                                                                                      ENTY:other   ENTY:other
Whose autobiography is titled Yes I Can ?                                                                                             HUM:ind      HUM:ind
What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?                                              ENTY:cremat  ENTY:cremat
How does food color affect how you think it will taste ?                                                                              ENTY:food    DESC:manner
In what deodorant commercial did tenants have adjoining medicine cabinets ?                                                           LOC:other    ENTY:other
What song put James Taylor in the limelight ?                                                                                         ENTY:cremat  ENTY:cremat
What is the snowiest city in the U.S. ?                                                                                               LOC:city     LOC:city
How much money does a back injury lawsuit get ?                                                                                       DESC:manner  NUM:money
When did beethoven die ?                                                                                                              NUM:date     NUM:date
Who did Sara Jane Moore try to assassinate ?                                                                                          HUM:ind      HUM:ind
What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?                          HUM:ind      ENTY:event
What 's the name of Tom Sawyer 's aunt with whom he lives ?                                                                           HUM:ind      HUM:ind
What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?                                HUM:ind      HUM:ind
What are the diseases that can be cured by black cumin ?                                                                              ENTY:dismed  ENTY:dismed
Who 's the twin brother of the Greek goddess Artemis ?                                                                                HUM:ind      HUM:ind
What is the average cost for four years of medical school ?                                                                           NUM:money    NUM:money
Who painted Mother and Child ?                                                                                                        HUM:ind      HUM:ind
What is the former name of Zimbabwe ?                                                                                                 HUM:ind      ENTY:termeq
What classical Spanish writer warned : `` All that glitters is not gold '' ?                                                          HUM:ind      HUM:ind
Where is Romania located ?                                                                                                            LOC:other    LOC:other
What two cities usually mark the extremes of English Channel swims ?                                                                  LOC:country  LOC:city
What is mandibulofacial dysostosis ?                                                                                                  DESC:def     DESC:def
What kind of crystals exist ?                                                                                                         ENTY:other   ENTY:substance
How does a hurricane form ?                                                                                                           DESC:manner  DESC:manner
What year did Charles Dicken die ?                                                                                                    ENTY:other   NUM:date
What do bicornate animals have two of ?                                                                                               ENTY:animal  ENTY:other
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?                                                            HUM:ind      HUM:ind
What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?                                                                ENTY:animal  ENTY:animal
Who was the first American in space ?                                                                                                 HUM:ind      HUM:ind
What is the largest island in the Mediterranean Sea ?                                                                                 LOC:other    LOC:other
What 's a Craps player called ?                                                                                                       ENTY:termeq  ENTY:termeq
What does the six-footed Musca domestica become when it enters a house ?                                                              ENTY:termeq  ENTY:other
Why should cigarette smoking be banned ?                                                                                              DESC:reason  DESC:reason
What 's the U.S. Navy hymn ?                                                                                                          DESC:desc    ENTY:cremat
What is diabetes ?                                                                                                                    DESC:def     DESC:def
What is Bella Abzug 's sartorial trademark ?                                                                                          DESC:def     ENTY:other
What do you call a date that contains sequencing numbers , like 9-8-98 ?                                                              ENTY:other   ENTY:termeq
Who was the 16th President of the United States ?                                                                                     HUM:ind      HUM:ind
How many millimeters are in a mile ?                                                                                                  NUM:count    NUM:count
How can I register my website in Yahoo for free ?                                                                                     DESC:manner  DESC:manner
Who were the four famous founders of United Artists ?                                                                                 HUM:ind      HUM:ind
What fast-food magnate 's initials graced the left sleeve of the San Diego Padres ' baseball uniforms in 1984 ?                       HUM:ind      HUM:gr
What record company was formed by Herb Alpert and Jerry Moss ?                                                                        HUM:gr       HUM:gr
What does the E stand for in the equation E=mc2 ?                                                                                     ABBR:exp     ABBR:exp
What direction do the best surfing beaches face ?                                                                                     LOC:other    LOC:other
How do I know if I 'm jealous of someone ?                                                                                            DESC:manner  DESC:manner
What ISPs exist in the Caribbean ?                                                                                                    DESC:def     HUM:gr
What is a camel hair brush actually made out of ?                                                                                     DESC:desc    ENTY:substance
What is the origin of the word `` mushroom '' ?                                                                                       DESC:desc    DESC:desc
Who founded the modern theory of probability ?                                                                                        HUM:ind      HUM:ind
Who founded the People 's Temple Commune ?                                                                                            HUM:ind      HUM:ind
Who played the father on `` Charles in Charge '' ?                                                                                    HUM:ind      HUM:ind
What country is Kosovo a part of ?                                                                                                    LOC:country  LOC:country
What Broadway musical featured the song , `` If I were a rich man ? ''                                                                ENTY:cremat  ENTY:cremat
Who is the father of the computer ?                                                                                                   HUM:ind      HUM:ind
What 's the most popular contact lens color ?                                                                                         ENTY:color   ENTY:color
What does the word affiant mean ?                                                                                                     DESC:def     DESC:def
How do I check if my modem is v.9 compatible ?                                                                                        DESC:manner  DESC:manner
What does an emperor do ?                                                                                                             DESC:def     DESC:desc
In a computer , what does SCSI mean ?                                                                                                 ABBR:exp     ABBR:exp
What country are you in if you woo in the Wu dialect ?                                                                                LOC:country  LOC:country
What appointments secretary to Richard Nixon went to jail ?                                                                           HUM:ind      HUM:ind
What major league baseball team compiled the best won-lost record between 1957 and 1983 ?                                             HUM:gr       HUM:gr
Who 's the founder and editor of The National Review ?                                                                                HUM:ind      HUM:ind
What TV series features the adventures of a married couple named Jonathan and Jennifer ?                                              ENTY:cremat  ENTY:cremat
Where is the Henry Ford Museum ?                                                                                                      LOC:other    LOC:other
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?                                                                               LOC:other    LOC:other
What girl 's name is `` Teddy '' an affectionate form of ?                                                                            HUM:ind      HUM:ind
Which mammal lives , breeds , eats , and sleeps underground ?                                                                         ENTY:animal  ENTY:animal
How much do drugs to treat tuberculosis cost ?                                                                                        NUM:money    NUM:money
How many miles is it to Ohio from North Carolina ?                                                                                    NUM:count    NUM:count
What is her husband 's name ?                                                                                                         HUM:ind      HUM:ind
Where can I get a photograph of professor Randolph Quirk ?                                                                            LOC:other    LOC:other
What does the name `` Sabrina '' mean ?                                                                                               DESC:def     DESC:def
From what cause does tuberculosis stem ?                                                                                              LOC:other    DESC:reason
What rabbit got its name because its ears resembled those of a jackass ?                                                              ENTY:animal  ENTY:animal
Which magazine is `` fine entertainment for men '' ?                                                                                  ENTY:sport   ENTY:cremat
What is the only substance that gives food its `` taste '' when eaten ?                                                               ENTY:food    ENTY:substance
What is pasta ?                                                                                                                       DESC:def     DESC:def
What are Cushman and Wakefield known for ?                                                                                            ENTY:termeq  DESC:reason
What is the size of Argentina ?                                                                                                       NUM:other    NUM:volsize
What 's the tallest piece on a chessboard ?                                                                                           LOC:other    ENTY:other
What are all the different kinds of contraceptives ?                                                                                  ENTY:food    ENTY:dismed
What explorers followed Columbus to the Americas ?                                                                                    ENTY:event   HUM:ind
What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?                                                                LOC:other    LOC:other
How do you match a name to a social security number ?                                                                                 DESC:manner  DESC:manner
What is different about the red and black fox ?                                                                                       ENTY:color   DESC:desc
Which thrilled taste buds first - Snickers or 3 Musketeers ?                                                                          ENTY:food    ENTY:food
What do you get by mixing gin and vermouth ?                                                                                          ENTY:food    ENTY:food
Which of the Seven Dwarfs comes first alphabetically ?                                                                                ENTY:cremat  HUM:ind
What is worth seeing in Reims ?                                                                                                       DESC:def     LOC:other
What color , s , appear on boxes of Kodak film ?                                                                                      ENTY:color   ENTY:color
Who is the Voyager project manager ?                                                                                                  HUM:ind      HUM:ind
What British general surrendered to the colonial army at Saratoga ?                                                                   HUM:ind      HUM:ind
What caused Harry Houdini 's death ?                                                                                                  NUM:other    DESC:reason
How is a hydrogen bomb different from a nuclear bomb ?                                                                                NUM:dist     DESC:manner
Who is the richest person in the world ?                                                                                              HUM:ind      HUM:ind
When was the Big Thompson flood ?                                                                                                     NUM:date     NUM:date
How much money was the minimum wage in 1991 ?                                                                                         NUM:money    NUM:money
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?                           NUM:count    ENTY:dismed
Who is Colin Powell ?                                                                                                                 HUM:desc     HUM:desc
What do Japanese school uniforms look like ?                                                                                          HUM:gr       DESC:desc
What was the first English play written exclusively for children ?                                                                    ENTY:cremat  ENTY:cremat
Who kept the most famous diary in the English language ?                                                                              HUM:ind      HUM:ind
Where is McCarren Airport ?                                                                                                           LOC:other    LOC:other
What book was F. Scott Fitzgerald working on when he died in Hollywood in 194 ?                                                       ENTY:cremat  ENTY:cremat
How many minutes were there on the original GE College Bowl clock ?                                                                   NUM:count    NUM:count
What newspaper returned a Pulitzer Prize for the fraudulent story Jimmy 's World ?                                                    ENTY:cremat  ENTY:cremat
Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?                                              HUM:ind      ENTY:cremat
What 's the sequel to Alice 's Adventures in Wonderland ?                                                                             ENTY:cremat  ENTY:cremat
What is the address of the famous Mexican star `` Thalia '' ?                                                                         LOC:other    LOC:other
What are some chemical properties of mendelevium ?                                                                                    DESC:desc    DESC:desc
What is a fear of motion ?                                                                                                            ENTY:dismed  ENTY:dismed
What is the only modern language that capitalizes its singular first-person pronoun ?                                                 ENTY:lang    ENTY:lang
Who created `` The Muppets '' ?                                                                                                       HUM:ind      HUM:ind
What does the word `` meta '' mean ?                                                                                                  DESC:def     DESC:def
What city was Martin Luther King Jr. assassinated in ?                                                                                LOC:city     LOC:city
What is the chemical reactivity of helium ?                                                                                           NUM:other    NUM:other
What is the difference between hair and fur ?                                                                                         DESC:desc    DESC:desc
How many e-commerce companies are started every day ?                                                                                 NUM:count    NUM:count
Who is the best known villain of the 165 Gunpowder Plot ?                                                                             HUM:ind      HUM:ind
What are the different types of plastic ?                                                                                             ENTY:food    ENTY:other
What does a nihilist believe in ?                                                                                                     DESC:def     DESC:desc
What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?                                  LOC:country  LOC:city
Who owns the rights on a TV program ?                                                                                                 HUM:ind      HUM:ind
What was the nationality of Jackson Pollock ?                                                                                         LOC:country  LOC:country
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?                                                           HUM:ind      DESC:reason
What name did football 's New York Titans adopt in 1963 ?                                                                             LOC:other    HUM:gr
What company markets a shampoo `` for brunettes only '' ?                                                                             HUM:gr       HUM:gr
How many equal angles are there in an isosceles triangle ?                                                                            NUM:count    NUM:count
What Jules Verne novel features scientists held captive in the submarine Nautilus ?                                                   ENTY:cremat  ENTY:cremat
What is the average age a horse lives ?                                                                                               NUM:period   NUM:period
What famous film and TV cowboy lent his name to a fast food chain ?                                                                   ENTY:cremat  HUM:ind
What do the red-and-white stripes on a barbershop pole stand for ?                                                                    ENTY:color   DESC:def
Who wrote The Red Badge of Courage ?                                                                                                  HUM:ind      HUM:ind
What is the history of `` the toast '' ?                                                                                              DESC:def     DESC:desc
When was Yemen reunified ?                                                                                                            NUM:date     NUM:date
How much of the earth 's surface is permanently frozen ?                                                                              DESC:manner  NUM:count
What is Li 'l Abner 's last name ?                                                                                                    HUM:ind      HUM:ind
Where was `` I have fallen , and I can 't get up '' said first ?                                                                      LOC:other    LOC:other
What country has been called The Queen of the Antilles ?                                                                              LOC:country  LOC:country
What is nuclear proliferation ?                                                                                                       DESC:def     DESC:def
What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?                                              ENTY:cremat  ENTY:cremat
How long has L.L. Cool J. been married ?                                                                                              NUM:period   NUM:period
What cigarette is `` a whole new world '' ?                                                                                           DESC:desc    ENTY:other
What shape-shifting menace did Rom come to Earth to fight ?                                                                           DESC:desc    ENTY:other
What country did the Romans call Hibernia ?                                                                                           LOC:country  LOC:country
On average , how long time does it take to type a screenplay ?                                                                        NUM:period   NUM:period
What is Larry King 's occupation ?                                                                                                    HUM:title    HUM:title
Who is Johnny Carson ?                                                                                                                HUM:desc     HUM:desc
What state in the U.S. has the most blacks ?                                                                                          LOC:state    LOC:state
Which of the following celebrities started his show-biz career as a disc jockey ?                                                     HUM:ind      HUM:ind
How do storms form ?                                                                                                                  DESC:manner  DESC:manner
Which country is Australia 's largest export market ?                                                                                 LOC:country  LOC:country
What 's the American dollar equivalent for 8 pounds in the U.K. ?                                                                     NUM:count    NUM:count
What Russian city boasts the Hermitage Museum ?                                                                                       LOC:city     LOC:city
What are dingoes ?                                                                                                                    DESC:def     DESC:def
What comedian was The Perfect Fool ?                                                                                                  HUM:ind      HUM:ind
Which sex is twice as likely to contract leprosy ?                                                                                    DESC:reason  ENTY:other
How much money does each player get at the beginning of the game in Monopoly ?                                                        DESC:manner  NUM:money
What measures did Clinton take to avoid the draft ?                                                                                   DESC:desc    ENTY:techmeth
What is the longest-running television series ?                                                                                       ENTY:cremat  ENTY:cremat
What do the Japanese call Japan ?                                                                                                     ENTY:termeq  ENTY:termeq
What 's the dumbest domesticated animal ?                                                                                             ENTY:animal  ENTY:animal
What was the name of the Crimean meeting of Roosevelt , Churchill , and Stalin ?                                                      HUM:ind      ENTY:event
What 's the most powerful card in Euchre ?                                                                                            ENTY:other   ENTY:other
What percentage of American men are alcoholic ?                                                                                       NUM:perc     NUM:perc
What is HDLC ?                                                                                                                        DESC:def     ABBR:exp
What is a pig in a poke ?                                                                                                             DESC:def     DESC:def
What is one of the languages spoken by the Sioux called ?                                                                             ENTY:lang    ENTY:lang
How does the tail affect the flight of a kite ?                                                                                       DESC:manner  DESC:manner
Hitler came to power in Germany in what year ?                                                                                        HUM:ind      NUM:date
What was the first minimum wage ?                                                                                                     NUM:money    NUM:money
How many types of dogs ' tails are there - three                                                                                      NUM:count    NUM:count
What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?                                                              ENTY:other   ENTY:other
What is widely used to detect prenatal birth defects ?                                                                                ENTY:other   ENTY:other
When do you plant winter wheat ?                                                                                                      NUM:date     NUM:date
How does Belle describe her life in Beauty and the Beast ?                                                                            DESC:manner  DESC:manner
Madonna hocks which soft drink ?                                                                                                      ENTY:food    ENTY:food
What is a urologist ?                                                                                                                 DESC:def     DESC:def
What U.S. state comes last in an alphabetical list ?                                                                                  LOC:state    LOC:state
What was the importance of Magellan ?                                                                                                 LOC:other    DESC:desc
Who was America 's first Public Enemy No. 1 ?                                                                                         HUM:ind      HUM:ind
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?                                                                     HUM:gr       ENTY:sport
What is Beethoven 's 9th symphony called ?                                                                                            ENTY:other   ENTY:cremat
What was the species of Winnie the Pooh ?                                                                                             ENTY:animal  ENTY:animal
What does the method called `` cold fusion '' create ?                                                                                ENTY:techmethENTY:techmeth
What sport is played on the largest field ?                                                                                           ENTY:sport   ENTY:sport
Who sells Viagra ?                                                                                                                    LOC:other    HUM:ind
What island group is Guadalcanal a part of ?                                                                                          HUM:gr       LOC:other
What is the average age of a member of the team that worked on the Manhatten Project ?                                                HUM:ind      NUM:period
Silly putty was invented by whom ?                                                                                                    NUM:date     HUM:ind
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?                                                                   LOC:other    LOC:other
Who created the comic strip , `` Garfield '' ?                                                                                        HUM:ind      HUM:ind
Who is currently the most popular singer in the world ?                                                                               HUM:ind      HUM:ind
What are the seven virtues ?                                                                                                          DESC:def     DESC:def
Who is the current prime minister and president of Russia ?                                                                           HUM:ind      HUM:ind
What 's an easy way to count the approximate number of fish in a lake ?                                                               NUM:count    ENTY:techmeth
The Orange Bowl is in what city ?                                                                                                     LOC:city     LOC:city
What made the short-lived Star Hawks strip so unique ?                                                                                HUM:ind      DESC:reason
How many miles is it from London , England to Plymouth , England ?                                                                    NUM:count    NUM:count
Which U.S. President is buried in Washington , D.C. ?                                                                                 HUM:ind      HUM:ind
What Good Little Witch is Casper 's girlfriend ?                                                                                      HUM:ind      HUM:ind
What is the most common name ?                                                                                                        ENTY:termeq  HUM:ind
What is the chemical symbol for nitrogen ?                                                                                            ABBR:abb     ENTY:symbol
How many dots make up the symbol for `` because '' ?                                                                                  NUM:count    NUM:count
What happened to Pompeii ?                                                                                                            DESC:desc    DESC:desc
Who did Doris Day mean when she said : `` I call him Ernie because he 's certainly no Rock '' ?                                       HUM:ind      HUM:ind
What function does homeostasis have on the existence of an organism ?                                                                 DESC:def     DESC:reason
What was the price of Varian Associates ' vacuum products division ?                                                                  NUM:money    NUM:money
What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?                                               LOC:other    ENTY:cremat
What company has built more than 2.5 billion little green houses since 1935 ?                                                         HUM:gr       HUM:gr
What college enlivens Hanover , New Hampshire ?                                                                                       HUM:gr       HUM:gr
What is the name of the woman who was with John Belushi when he died ?                                                                HUM:ind      HUM:ind
What makes a clitoris sensitive ?                                                                                                     DESC:reason  DESC:reason
What organization 's offices were broken into at Watergate in 1972 ?                                                                  HUM:gr       HUM:gr
Which high schools are included in the South Florida Ice Hockey league ?                                                              HUM:ind      HUM:gr
What is Nero Wolfe 's favorite drink during office hours ?                                                                            ENTY:food    ENTY:food
What was the verdict in the trial of Lizzie Borden ?                                                                                  DESC:desc    DESC:desc
What does Larry King do for a living ?                                                                                                HUM:title    HUM:title
What actor was the first man to appear on the cover of McCall 's ?                                                                    HUM:ind      HUM:ind
Who is the prime minister of Japan ?                                                                                                  HUM:ind      HUM:ind
What city 's the kickoff point for climbs of Mount Everest ?                                                                          LOC:city     LOC:city
What hide-and-seek game is played around a tin can ?                                                                                  ENTY:other   ENTY:sport
Who developed the first polio vaccine ?                                                                                               HUM:ind      HUM:ind
Who is considered The First Lady of the American Stage ?                                                                              HUM:ind      HUM:ind
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?                                ENTY:cremat  HUM:ind
Where can I get information on the original 13 US colonies ?                                                                          LOC:other    LOC:other
What is the nature of snow and how is the formation of snow different from that of ice ?                                              DESC:desc    DESC:desc
What is the function of RAM ?                                                                                                         DESC:def     DESC:reason
How can I find out what year a Beanie Baby was introduced ?                                                                           DESC:manner  DESC:manner
What is the largest city in Germany ?                                                                                                 LOC:city     LOC:city
Where is Burma ?                                                                                                                      LOC:other    LOC:other
What was Connecticut 's first constitution called ?                                                                                   DESC:desc    ENTY:cremat
What is the pig population of the world ?                                                                                             NUM:count    NUM:count
Who played Emperor Palpatine in Star Wars ?                                                                                           HUM:ind      HUM:ind
How much money does the Sultan of Brunei have ?                                                                                       NUM:count    NUM:money
What city is the setting for Puccini 's opera La Boheme ?                                                                             LOC:other    LOC:city
What continent 's second-highest peak is Mont Blanc ?                                                                                 LOC:mount    LOC:mount
Which mosquito 's bite draws blood , DT NN CC DT NN .                                                                                 HUM:ind      ENTY:animal
What is the fastest fish in the world ?                                                                                               ENTY:sport   ENTY:animal
What is graduate school ?                                                                                                             HUM:gr       DESC:def
What do pointed letters mean to a handwriting analyst ?                                                                               DESC:desc    DESC:def
What is swap math ?                                                                                                                   DESC:def     DESC:def
What motto ended Merrie Melodies cartoons ?                                                                                           ENTY:cremat  DESC:desc
What stringed weapon fires a bolt ?                                                                                                   ENTY:other   ENTY:other
How many disks does each player have in a four-handed game of Crokinole ?                                                             NUM:count    NUM:count
What are the largest deserts in the world ?                                                                                           LOC:other    LOC:other
